university_code,university_name,country,province_state,city,building_number,street,postal_code,website,type,language,established
OXON,University of Oxford,UK,England,Oxford,1,University Offices,OX1 2JD,ox.ac.uk,Public,English,1096
CANTAB,University of Cambridge,UK,England,Cambridge,1,The Old Schools,CB2 1TN,cam.ac.uk,Public,English,1209
ICL,Imperial College London,UK,England,London,1,South Kensington Campus,SW7 2AZ,imperial.ac.uk,Public,English,1907
UCL,University College London,UK,England,London,1,Gower St,WC1E 6BT,ucl.ac.uk,Public,English,1826
KCL,King's College London,UK,England,London,1,Strand,WC2R 2LS,kcl.ac.uk,Public,English,1829
LSE,London School of Economics,UK,England,London,1,Houghton St,WC2A 2AE,lse.ac.uk,Public,English,1895
EDIN,University of Edinburgh,UK,Scotland,Edinburgh,1,Old College,EH8 9YL,ed.ac.uk,Public,English,1583
GLAS,University of Glasgow,UK,Scotland,Glasgow,1,University Ave,G12 8QQ,gla.ac.uk,Public,English,1451
STANDREWS,University of St Andrews,UK,Scotland,St Andrews,1,College Gate,KY16 9AJ,st-andrews.ac.uk,Public,English,1413
MANC,University of Manchester,UK,England,Manchester,1,Oxford Rd,M13 9PL,manchester.ac.uk,Public,English,1824
BHAM,University of Birmingham,UK,England,Birmingham,1,Edgbaston,B15 2TT,birmingham.ac.uk,Public,English,1900
LEEDS,University of Leeds,UK,England,Leeds,1,Woodhouse Ln,LS2 9JT,leeds.ac.uk,Public,English,1904
SHEFF,University of Sheffield,UK,England,Sheffield,1,Western Bank,S10 2TN,sheffield.ac.uk,Public,English,1905
BRIST,University of Bristol,UK,England,Bristol,1,Senate House,BS8 1TH,bristol.ac.uk,Public,English,1909
WARWICK,University of Warwick,UK,England,Coventry,1,Gibbet Hill Rd,CV4 7AL,warwick.ac.uk,Public,English,1965
NOTT,University of Nottingham,UK,England,Nottingham,1,University Park,NG7 2RD,nottingham.ac.uk,Public,English,1881
SOTON,University of Southampton,UK,England,Southampton,1,University Rd,SO17 1BJ,southampton.ac.uk,Public,English,1862
YORK,University of York,UK,England,York,1,Heslington,YO10 5DD,york.ac.uk,Public,English,1963
DURHAM,Durham University,UK,England,Durham,1,The Bailey,DH1 3HP,durham.ac.uk,Public,English,1832
EXETER,University of Exeter,UK,England,Exeter,1,Stocker Rd,EX4 4PY,exeter.ac.uk,Public,English,1955
BATH,University of Bath,UK,England,Bath,1,Claverton Down,BA2 7AY,bath.ac.uk,Public,English,1966
NEWCASTLE,Newcastle University,UK,England,Newcastle,1,King's Gate,NE1 7RU,ncl.ac.uk,Public,English,1963
SURREY,University of Surrey,UK,England,Guildford,1,Stag Hill,GU2 7XH,surrey.ac.uk,Public,English,1966
LANCAS,Lancaster University,UK,England,Lancaster,1,Bailrigg,LA1 4YW,lancaster.ac.uk,Public,English,1964
LOUGH,Loughborough University,UK,England,Loughborough,1,Epinal Way,LE11 3TU,lboro.ac.uk,Public,English,1966
ESSEX,University of Essex,UK,England,Colchester,1,Wivenhoe Park,CO4 3SQ,essex.ac.uk,Public,English,1964
EAST_ANG,University of East Anglia,UK,England,Norwich,1,Norwich Research Park,NR4 7TJ,uea.ac.uk,Public,English,1963
SUSSEX,University of Sussex,UK,England,Brighton,1,Falmer,BN1 9RH,sussex.ac.uk,Public,English,1961
READING,University of Reading,UK,England,Reading,1,Whiteknights,RG6 6AH,reading.ac.uk,Public,English,1892
KENT,University of Kent,UK,England,Canterbury,1,Giles Ln,CT2 7NZ,kent.ac.uk,Public,English,1965
QMUL,Queen Mary University of London,UK,England,London,1,Mile End Rd,E1 4NS,qmul.ac.uk,Public,English,1887
RHUL,Royal Holloway University of London,UK,England,Egham,1,Egham Hill,TW20 0EX,royalholloway.ac.uk,Public,English,1886
BIRKBECK,Birkbeck University of London,UK,England,London,1,Malet St,WC1E 7HX,bbk.ac.uk,Public,English,1823
CITY,City University of London,UK,England,London,1,Northampton Square,EC1V 0HB,city.ac.uk,Public,English,1894
GOLDSMITHS,Goldsmiths University of London,UK,England,London,1,New Cross,SE14 6NW,gold.ac.uk,Public,English,1891
SOAS,SOAS University of London,UK,England,London,1,Thornhaugh St,WC1H 0XG,soas.ac.uk,Public,English,1916
BRUNEL,Brunel University London,UK,England,Uxbridge,1,Kingston Ln,UB8 3PH,brunel.ac.uk,Public,English,1966
