university_code,university_name,country,province_state,city,building_number,street,postal_code,website,type,language,established
UTORONTO,University of Toronto Faculty of Dentistry,Canada,Ontario,Toronto,124,Edward Street,M5G 1G6,https://www.dentistry.utoronto.ca,Public,English,1875
UBC,University of British Columbia Faculty of Dentistry,Canada,British Columbia,Vancouver,2199,Wesbrook Mall,V6T 1Z3,https://www.dentistry.ubc.ca,Public,English,1964
MCGILL,McGill University Faculty of Dentistry,Canada,Quebec,Montreal,,3640 University Street,H3A 0C7,https://www.mcgill.ca/dentistry,Public,"English, French",1904
UALBERTA,University of Alberta School of Dentistry,Canada,Alberta,Edmonton,11405,87 Avenue NW,T6G 1C9,https://www.ualberta.ca/school-of-dentistry,Public,English,1917
UMANITOBA,University of Manitoba College of Dentistry,Canada,Manitoba,Winnipeg,780,Bannatyne Avenue,R3E 0W2,https://umanitoba.ca/dentistry,Public,English,1958
USASK,University of Saskatchewan College of Dentistry,Canada,Saskatchewan,Saskatoon,,105 Wiggins Road,S7N 5E4,https://www.usask.ca/dentistry,Public,English,1965
DALHOUSIE,Dalhousie University Faculty of Dentistry,Canada,Nova Scotia,Halifax,5981,University Avenue,B3H 3J5,https://www.dal.ca/faculty/dentistry,Public,English,1908
WESTERN,Western University Schulich School of Medicine & Dentistry,Canada,Ontario,London,,1151 Richmond Street,N6A 5C1,https://www.schulich.uwo.ca,Public,English,1965
UMONTREAL,Université de Montréal Faculté de médecine dentaire,Canada,Quebec,Montreal,2900,Boulevard Édouard-Montpetit,H3T 1J4,https://www.medecine.umontreal.ca,Public,French,1904
ULAVAL,Université Laval Faculté de médecine dentaire,Canada,Quebec,Quebec City,2420,Rue de la Terrasse,G1V 0A6,https://www.ulaval.ca,Public,French,1971
HARVARD,Harvard School of Dental Medicine,USA,Massachusetts,Boston,188,Longwood Avenue,02115,https://www.hsdm.harvard.edu,Private,English,1867
UCSF,University of California San Francisco School of Dentistry,USA,California,San Francisco,707,Parnassus Avenue,94143,https://dentistry.ucsf.edu,Public,English,1881
UMICH,University of Michigan School of Dentistry,USA,Michigan,Ann Arbor,1011,North University Avenue,48109,https://www.dentistry.umich.edu,Public,English,1875
UNC,University of North Carolina Adams School of Dentistry,USA,North Carolina,Chapel Hill,385,South Columbia Street,27599,https://www.dentistry.unc.edu,Public,English,1950
COLUMBIA,Columbia University College of Dental Medicine,USA,New York,New York,630,West 168th Street,10032,https://dental.columbia.edu,Private,English,1917
NYU,New York University College of Dentistry,USA,New York,New York,345,East 24th Street,10010,https://dental.nyu.edu,Private,English,1865
UPENN,University of Pennsylvania School of Dental Medicine,USA,Pennsylvania,Philadelphia,240,South 40th Street,19104,https://www.dental.upenn.edu,Private,English,1878
UCLA,UCLA School of Dentistry,USA,California,Los Angeles,714,Tiverton Avenue,90095,https://www.dentistry.ucla.edu,Public,English,1964
TAMU,Texas A&M University College of Dentistry,USA,Texas,Dallas,3302,Gaston Avenue,75246,https://dentistry.tamu.edu,Public,English,1905
UIOWA,University of Iowa College of Dentistry,USA,Iowa,Iowa City,801,Newton Road,52242,https://dentistry.uiowa.edu,Public,English,1882
TUFTS,Tufts University School of Dental Medicine,USA,Massachusetts,Boston,1,Kneeland Street,02111,https://dental.tufts.edu,Private,English,1899
CWRU,Case Western Reserve University School of Dental Medicine,USA,Ohio,Cleveland,10900,Euclid Avenue,44106,https://case.edu/dental,Private,English,1892
BU,Boston University Henry M. Goldman School of Dental Medicine,USA,Massachusetts,Boston,635,Albany Street,02118,https://www.bu.edu/dental,Private,English,1963
UW,University of Washington School of Dentistry,USA,Washington,Seattle,1959,NE Pacific Street,98195,https://dental.washington.edu,Public,English,1945
USC,University of Southern California Herman Ostrow School of Dentistry,USA,California,Los Angeles,925,West 34th Street,90089,https://dentistry.usc.edu,Private,English,1897
ATSU,A.T. Still University Arizona School of Dentistry,USA,Arizona,Mesa,5855,East Still Circle,85206,https://www.atsu.edu,Private,English,1892
MIDWESTERN,Midwestern University College of Dental Medicine,USA,Arizona,Glendale,19555,North 59th Avenue,85308,https://www.midwestern.edu,Private,English,1900
VCU,Virginia Commonwealth University School of Dentistry,USA,Virginia,Richmond,520,North 12th Street,23298,https://www.dentistry.vcu.edu,Public,English,1893
NOVA,Nova Southeastern University College of Dental Medicine,USA,Florida,Davie,3200,South University Drive,33328,https://dental.nova.edu,Private,English,1997
UF,University of Florida College of Dentistry,USA,Florida,Gainesville,1395,Center Drive,32610,https://dental.ufl.edu,Public,English,1972
MARQUETTE,Marquette University School of Dentistry,USA,Wisconsin,Milwaukee,1801,West Wisconsin Avenue,53233,https://www.marquette.edu/dentistry,Private,English,1907
CREIGHTON,Creighton University School of Dentistry,USA,Nebraska,Omaha,2500,California Plaza,68178,https://www.creighton.edu/dentistry,Private,English,1905
BAYLOR,Texas A&M University Baylor College of Dentistry,USA,Texas,Dallas,3302,Gaston Avenue,75246,https://dentistry.tamhsc.edu,Public,English,1905
OHSU,Oregon Health & Science University School of Dentistry,USA,Oregon,Portland,2730,SW Moody Avenue,97201,https://www.ohsu.edu/school-of-dentistry,Public,English,1898
UNLV,University of Nevada Las Vegas School of Dental Medicine,USA,Nevada,Las Vegas,1001,Shadow Lane,89106,https://www.unlv.edu/dental,Public,English,2002
LOUISVILLE,University of Louisville School of Dentistry,USA,Kentucky,Louisville,501,South Preston Street,40292,https://louisville.edu/dentistry,Public,English,1918
CDC,Centers for Disease Control and Prevention,USA,Georgia,Atlanta,1600,Clifton Road,30329,https://www.cdc.gov/dental-public-health-residency,Federal,English,1946
KCL,King's College London Dental Institute,UK,England,London,,Guy's Campus London Bridge,SE1 9RT,https://www.kcl.ac.uk/dentistry,Public,English,1799
UCL,University College London Eastman Dental Institute,UK,England,London,256,Gray's Inn Road,WC1X 8LD,https://www.ucl.ac.uk/eastman,Public,English,1947
QMUL,Queen Mary University of London Barts Dental Institute,UK,England,London,,Turner Street,E1 2AD,https://www.qmul.ac.uk/smd,Public,English,1785
BHAM,University of Birmingham School of Dentistry,UK,England,Birmingham,5,Mill Pool Way,B5 7EG,https://www.birmingham.ac.uk/schools/dentistry,Public,English,1901
BRISTOL,University of Bristol Dental School,UK,England,Bristol,,Lower Maudlin Street,BS1 2LY,https://www.bristol.ac.uk/dental,Public,English,1909
LEEDS,University of Leeds School of Dentistry,UK,England,Leeds,,Clarendon Way,LS2 9LU,https://medhealth.leeds.ac.uk/dentistry,Public,English,1884
LIVERPOOL,University of Liverpool School of Dental Surgery,UK,England,Liverpool,,Pembroke Place,L3 5PS,https://www.liverpool.ac.uk/dental,Public,English,1884
MANCHESTER,University of Manchester School of Dentistry,UK,England,Manchester,,Higher Cambridge Street,M15 6FH,https://www.manchester.ac.uk/study/masters/courses/list/dentistry,Public,English,1883
NEWCASTLE,Newcastle University School of Dental Sciences,UK,England,Newcastle,,Framlington Place,NE2 4BW,https://www.ncl.ac.uk/dental,Public,English,1895
PLYMOUTH,University of Plymouth Peninsula Dental School,UK,England,Plymouth,,John Bull Building,PL6 8BU,https://www.plymouth.ac.uk/schools-faculties/peninsula-schools,Public,English,2007
SHEFFIELD,University of Sheffield School of Clinical Dentistry,UK,England,Sheffield,,Claremont Crescent,S10 2TA,https://www.sheffield.ac.uk/dentalschool,Public,English,1965
UCLAN,University of Central Lancashire School of Dentistry,UK,England,Preston,,Adelphi Street,PR1 2HE,https://www.uclan.ac.uk/schools/dentistry,Public,English,2007
ABERDEEN,University of Aberdeen School of Medicine and Dentistry,UK,Scotland,Aberdeen,,Foresterhill,AB25 2ZD,https://www.abdn.ac.uk/smd,Public,English,1495
DUNDEE,University of Dundee School of Dentistry,UK,Scotland,Dundee,,Park Place,DD1 4HN,https://www.dundee.ac.uk/schools/dentistry,Public,English,1967
EDINBURGH,University of Edinburgh Edinburgh Dental Institute,UK,Scotland,Edinburgh,,Lauriston Place,EH3 9HA,https://www.ed.ac.uk/dentistry,Public,English,1879
GLASGOW,University of Glasgow School of Medicine Dentistry & Nursing,UK,Scotland,Glasgow,378,Sauchiehall Street,G2 3JZ,https://www.gla.ac.uk/schools/dental,Public,English,1879
CARDIFF,Cardiff University School of Dentistry,UK,Wales,Cardiff,,Heath Park,CF14 4XY,https://www.cardiff.ac.uk/dentistry,Public,English,1884
QUB,Queen's University Belfast School of Dentistry,UK,Northern Ireland,Belfast,,Grosvenor Road,BT12 6BP,https://www.qub.ac.uk/schools/mdbs,Public,English,1849
USYDNEY,University of Sydney School of Dentistry,Australia,New South Wales,Sydney,,2 Chalmers Street,2006,https://www.sydney.edu.au/medicine-health/schools/sydney-dental-school.html,Public,English,1901
UMELB,University of Melbourne Melbourne Dental School,Australia,Victoria,Melbourne,720,Swanston Street,3010,https://mdhs.unimelb.edu.au/dentistry,Public,English,1884
UQ,University of Queensland School of Dentistry,Australia,Queensland,Brisbane,288,Herston Road,4006,https://dentistry.uq.edu.au,Public,English,1963
ADELAIDE,University of Adelaide School of Dentistry,Australia,South Australia,Adelaide,,North Terrace,5005,https://www.adelaide.edu.au/dentistry,Public,English,1885
UWA,University of Western Australia School of Dentistry,Australia,Western Australia,Perth,,35 Stirling Highway,6009,https://www.uwa.edu.au/schools/dentistry,Public,English,1956
GRIFFITH,Griffith University School of Dentistry and Oral Health,Australia,Queensland,Gold Coast,,Parklands Drive,4222,https://www.griffith.edu.au/health/school-medicine-dentistry,Public,English,1971
JCU,James Cook University College of Medicine and Dentistry,Australia,Queensland,Cairns,1,James Cook Drive,4878,https://www.jcu.edu.au/medicine-and-dentistry,Public,English,1970
LATROBE,La Trobe University Dental School,Australia,Victoria,Bendigo,,Edwards Road,3552,https://www.latrobe.edu.au/courses/dentistry,Public,English,1967
