faculty_id,name,first_name,last_name,middle_names,other_name,degree,all_degrees_and_inst,all_degrees_only,research_areas,university_code,university,faculty,department,other_depts,primary_aff,membership,canada_research_chair,director,position,,full_time,adjunct,uni_email,other_email,uni_page,website,misc,twitter,phone,fax,gscholar,scopus,wos,orcid,researchgate,academicedu,linkedin
CA-ON-001-00001,Rosalind Abdool,Rosalind,Abdool,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Lecturer,,,,,,,,,,,,,,,,,,
,Ibukun Abejirinde,Ibukun,Abejirinde,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Alan Abelsohn,Alan,Abelsohn,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Associate Professor,,,,,,,,,,,,,,,,,,
,Farbod Abolhassani,Farbod,Abolhassani,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Professor,,,,,,,,,,,,,,,,,,
,Alex Abramovich,Alex,Abramovich,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Associate Professor,,,,,,,,,,,,,,,,,,
,Izzeldin Abuelaish,Izzeldin,Abuelaish,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Professor,,,,,,,,,,,,,,,,,,
,Marina Afanasyeva,Marina,Afanasyeva,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Lecturer,,,,,,,,,,,,,,,,,,
,Monica Aggarwal,Monica,Aggarwal,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Branka Agic,Branka,Agic,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Associate Professor,,,,,,,,,,,,,,,,,,
,Farah Ahmad,Farah,Ahmad,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Associate Professor,,,,,,,,,,,,,,,,,,
,Ashley Mariko Aimone,Ashley,Aimone,Mariko,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Parisa Airia,Parisa,Airia,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Mohammad Reza Akbari,Mohammad,Akbari,Reza,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Associate Professor,,,,,,,,,,,,,,,,,,
,Lina Al-​Imari,Lina,Al-​Imari,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Lecturer,,,,,,,,,,,,,,,,,,
,Wright Alexandra,Wright,Alexandra,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Lecturer,,,,,,,,,,,,,,,,,,
,Farihah Ali,Farihah,Ali,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Julia Mary Alleyne,Julia,Alleyne,Mary,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Associate Professor,,,,,,,,,,,,,,,,,,
,Alemayehu Amberbir,Alemayehu,Amberbir,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Lecturer,,,,,,,,,,,,,,,,,,
,Mohammad Kaviul Anam Khan,Mohammad,Anam Khan,Kaviul,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,N/A,,,,,,,,,,,,,,,,,,
,James Anderson,James,Anderson,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,John Anderson,John,Anderson,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,David Andrews,David,Andrews,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Professor Emeritus,,,,,,,,,,,,,,,,,,
,Irene Armstrong,Irene,Armstrong,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Professor,,,,,,,,,,,,,,,,,,
,Paul Arora,Paul,Arora,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Lecturer,,,,,,,,,,,,,,,,,,
,Victoria Arrandale,Victoria,Arrandale,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Associate Professor,,,,,,,,,,,,,,,,,,
,Mary Jane Ashley,Mary,Ashley,Jane,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Professor Emerita,,,,,,,,,,,,,,,,,,
,Garry Aslanyan,Garry,Aslanyan,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Professor,,,,,,,,,,,,,,,,,,
,Farhan Asrar,Farhan,Asrar,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Associate Professor,,,,,,,,,,,,,,,,,,
,Anushka Ataullahjan,Anushka,Ataullahjan,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Eshetu G Atenafu,Eshetu,Atenafu,G,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Lecturer,,,,,,,,,,,,,,,,,,
,Michael Atkinson,Michael,Atkinson,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Professor,,,,,,,,,,,,,,,,,,
,Lisa Avery,Lisa,Avery,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Elizabeth M Badley,Elizabeth,Badley,M,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Professor Emerita,,,,,,,,,,,,,,,,,,
,Cornelia J Baines,Cornelia,Baines,J,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Professor Emerita,,,,,,,,,,,,,,,,,,
,Dolly Baliunas,Dolly,Baliunas,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Hailey Banack,Hailey,Banack,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Ananya Tina Banerjee,Ananya,Banerjee,Tina,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Claudia Barned,Claudia,Barned,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Melanie Barwick,Melanie,Barwick,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Professor,,,,,,,,,,,,,,,,,,
,Diego G Bassani,Diego,Bassani,G,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Associate Professor,,,,,,,,,,,,,,,,,,
