pmid,current_affiliation
17355481,TRUE
17593124,TRUE
17701520,FALSE
17844977,FALSE
18082884,FALSE
18339106,FALSE
18445114,FALSE
18578827,FALSE
18640793,FALSE
18754920,TRUE
18834387,FALSE
19023770,FALSE
19133883,FALSE
19233572,FALSE
19371489,FALSE
19451436,FALSE
19627340,FALSE
20617064,FALSE
20649775,FALSE
20649776,FALSE
20678039,FALSE
20731985,FALSE
21080328,FALSE
21205052,FALSE
21438943,FALSE
21462409,FALSE
21486316,FALSE
21488708,FALSE
21806514,FALSE
21896066,FALSE
21896074,FALSE
21917530,FALSE
21919975,FALSE
21949190,FALSE
22220817,FALSE
22313705,FALSE
23134431,FALSE
23171613,FALSE
23461739,FALSE
23477833,FALSE
23497161,FALSE
23726976,FALSE
23750577,FALSE
23802934,FALSE
23818684,FALSE
23845570,FALSE
24005573,FALSE
24052533,FALSE
24237898,FALSE
24256106,FALSE
24372933,FALSE
24418289,FALSE
24423167,FALSE
24480646,FALSE
24628682,FALSE
24636175,FALSE
24645874,FALSE
24717214,FALSE
24761756,FALSE
24776375,FALSE
24892180,FALSE
24950797,FALSE
25103101,FALSE
25112702,FALSE
25223238,FALSE
25271791,FALSE
25287986,FALSE
25316437,FALSE
25336247,FALSE
25458241,FALSE
25486405,FALSE
25584728,FALSE
25623416,FALSE
25664379,FALSE
25756218,FALSE
25783373,TRUE
25783384,TRUE
25830181,FALSE
25986027,TRUE
26061586,FALSE
26071563,FALSE
26094657,FALSE
26109263,FALSE
26121310,FALSE
26204365,FALSE
26263170,FALSE
26332165,FALSE
26365018,FALSE
26424454,FALSE
26430755,FALSE
26626807,FALSE
26663305,FALSE
26944717,FALSE
26948693,FALSE
26960738,TRUE
26964704,TRUE
26999475,FALSE
27028197,FALSE
27140432,FALSE
27158025,FALSE
27219829,FALSE
27291997,FALSE
27340966,FALSE
27351584,FALSE
27714387,FALSE
27965809,TRUE
27984810,FALSE
28188703,FALSE
28190555,TRUE
28245536,FALSE
28345281,FALSE
28434201,FALSE
28480623,FALSE
28544093,FALSE
28546136,FALSE
28646887,TRUE
28741874,FALSE
28982355,FALSE
29051984,FALSE
29087818,FALSE
29138631,FALSE
29178662,FALSE
29268238,FALSE
29356174,FALSE
29396879,FALSE
29405460,FALSE
29431253,FALSE
29473244,FALSE
29519574,TRUE
29526351,TRUE
29737611,FALSE
29806883,FALSE
29920837,FALSE
29974540,FALSE
30030211,FALSE
30111602,FALSE
30346513,FALSE
30646024,FALSE
30648334,FALSE
30837058,FALSE
30994968,FALSE
31013172,FALSE
31037792,FALSE
31054371,FALSE
31062853,FALSE
31076175,FALSE
31087087,FALSE
31173362,FALSE
31175201,FALSE
31560404,FALSE
31603757,FALSE
31771596,FALSE
31797480,FALSE
31863521,FALSE
31874843,TRUE
31927161,FALSE
31943464,FALSE
31970851,FALSE
32011642,TRUE
32107857,FALSE
32110864,FALSE
32196800,FALSE
32229471,FALSE
32701199,FALSE
32767791,FALSE
32785587,FALSE
32900721,TRUE
32949418,FALSE
32964572,FALSE
33008639,FALSE
33027556,FALSE
33045122,FALSE
33089571,FALSE
33104260,FALSE
33132794,FALSE
33170976,FALSE
33188681,FALSE
33230853,TRUE
33245567,FALSE
33388141,FALSE
33463811,FALSE
33559964,FALSE
33573725,FALSE
33604615,FALSE
33635553,FALSE
33715243,FALSE
33823971,FALSE
33866071,FALSE
34008244,FALSE
34008874,FALSE
34008893,FALSE
34013627,FALSE
34015156,FALSE
34051548,FALSE
34151475,FALSE
34159676,FALSE
34235793,FALSE
34254691,FALSE
34260265,FALSE
34301696,FALSE
34444939,FALSE
34472670,FALSE
34475102,FALSE
34507081,FALSE
34537479,FALSE
34657739,FALSE
34686162,FALSE
34697846,FALSE
34736131,FALSE
34766395,FALSE
34769720,FALSE
34817101,FALSE
34839537,FALSE
34856025,FALSE
34864838,FALSE
34932257,FALSE
34963035,FALSE
35010847,FALSE
35015183,FALSE
35015803,FALSE
35058060,TRUE
35078593,TRUE
35081266,FALSE
35131690,FALSE
35162666,FALSE
35188297,FALSE
35225376,FALSE
35294595,TRUE
35310616,FALSE
35332357,TRUE
35333320,FALSE
35365540,FALSE
35405461,FALSE
35466478,FALSE
35673799,FALSE
35914417,FALSE
35950293,FALSE
35959542,FALSE
36043343,FALSE
36054167,FALSE
36071500,FALSE
36206499,FALSE
36272813,FALSE
36321607,FALSE
36330545,FALSE
36464833,FALSE
36544124,FALSE
36563586,FALSE
36630806,FALSE
36698279,FALSE
36698437,FALSE
36794630,FALSE
36883348,FALSE
36907002,FALSE
36931229,FALSE
36967701,FALSE
37014647,FALSE
37071591,FALSE
37105335,FALSE
37202337,FALSE
37210731,FALSE
37327903,FALSE
37349258,FALSE
37399136,FALSE
37399138,FALSE
37432964,FALSE
37443024,FALSE
37517043,FALSE
37523328,FALSE
37792714,FALSE
37957103,TRUE
38055335,FALSE
38096472,FALSE
38111210,FALSE
38281267,FALSE
38309839,FALSE
38407964,FALSE
38413262,TRUE
38640706,FALSE
38692136,FALSE
38741360,FALSE
38806665,TRUE
38943908,FALSE
39013131,FALSE
39141956,FALSE
39165122,FALSE
39222486,FALSE
39370383,FALSE
39404683,FALSE
39478441,FALSE
39652557,FALSE
39824744,FALSE
39916429,FALSE
40041952,FALSE
40059463,FALSE
40065193,FALSE
40096853,TRUE
40111926,FALSE
40299787,FALSE
40467094,FALSE
40581935,FALSE
40590730,FALSE
