openalex_id,current_affiliation
W123496065,TRUE
W125388946,FALSE
W1484684455,FALSE
W1487172691,FALSE
W1540798843,TRUE
W1540963272,TRUE
W1546409939,FALSE
W1548557210,FALSE
W1552743895,FALSE
W1554797437,FALSE
W1556571873,TRUE
W1566243297,FALSE
W1587824217,FALSE
W1597111140,FALSE
W1598728220,FALSE
W1601327046,FALSE
W1605987407,FALSE
W1608365388,FALSE
W186105758,FALSE
W1872867034,TRUE
W1951670939,TRUE
W1966859650,FALSE
W1970752067,FALSE
W1979004132,FALSE
W1986585071,FALSE
W1988723590,TRUE
W1990011088,FALSE
W1990357037,FALSE
W1993662834,TRUE
W1995358125,FALSE
W1996088631,TRUE
W1996172317,FALSE
W1996323257,FALSE
W1997249488,FALSE
W1998205190,TRUE
W1998999630,FALSE
W2006016657,FALSE
W2007921167,FALSE
W2010141160,TRUE
W2011436381,FALSE
W2018321002,TRUE
W2018791924,FALSE
W2021875076,FALSE
W2024630792,FALSE
W2026072405,TRUE
W2029126662,FALSE
W2033299724,TRUE
W2034661999,TRUE
W2036270217,FALSE
W2038984978,FALSE
W2045746149,FALSE
W2047734183,TRUE
W2049627362,FALSE
W2058408001,TRUE
W2058694307,FALSE
W2059502776,TRUE
W2062865909,FALSE
W2063250098,TRUE
W2065826327,FALSE
W2069077166,FALSE
W2071113205,FALSE
W2071327145,FALSE
W2074378133,FALSE
W2078127492,FALSE
W2078132212,FALSE
W2078775746,TRUE
W2078842315,FALSE
W2080694788,FALSE
W2085682268,TRUE
W2086818791,FALSE
W2087915547,FALSE
W2098578474,FALSE
W2106139305,TRUE
W2109676151,FALSE
W2128219912,FALSE
W2132741614,TRUE
W2143481327,FALSE
W2144323973,FALSE
W2151945187,FALSE
W2156886305,TRUE
W2167918976,FALSE
W2168812605,FALSE
W2186957524,FALSE
W2224017605,TRUE
W2249008426,TRUE
W2278844608,FALSE
W2287701796,TRUE
W2312765065,FALSE
W2313662592,TRUE
W2314422708,FALSE
W2317726920,FALSE
W2322475698,FALSE
W2324358422,FALSE
W2324739151,FALSE
W2352784539,FALSE
W2404083609,FALSE
W2410299441,FALSE
W2410348918,TRUE
W2435720276,FALSE
W2442844182,FALSE
W2506690591,TRUE
W2561023527,FALSE
W2590408465,FALSE
W2604427353,TRUE
W2624029039,FALSE
W2747824932,TRUE
W2754545677,TRUE
W2760927501,TRUE
W2767281613,FALSE
W2797390702,TRUE
W2885246511,TRUE
W2916213647,TRUE
W2917638592,TRUE
W2958966196,TRUE
W3005574567,FALSE
W3088944336,TRUE
W3123464746,FALSE
W3138168457,FALSE
W3159665290,FALSE
W4206481953,TRUE
W4212850904,FALSE
W4226146026,TRUE
W4230719901,TRUE
W4232677834,FALSE
W4233218473,TRUE
W4237435265,TRUE
W4239605527,TRUE
W4240622211,TRUE
W4244687189,TRUE
W4250552496,TRUE
W4251167669,TRUE
W4252985879,FALSE
W4255877484,TRUE
W4288459457,TRUE
W4297791784,FALSE
W4308055486,TRUE
W4308364450,TRUE
W4312852852,TRUE
W4365449195,TRUE
W4380243660,TRUE
W4391092522,TRUE
W4392610598,TRUE
W570443149,FALSE
W577440804,FALSE
W582949269,FALSE
W587281717,FALSE
W608798776,FALSE
W608972288,FALSE
W618395226,FALSE
W620894932,FALSE
W631432372,FALSE
W649086256,FALSE
W652983750,FALSE
W653854017,FALSE
W654384882,FALSE
W749728132,FALSE
W821745334,FALSE
W83157852,FALSE
