openalex_id,current_affiliation
W1577311909,TRUE
W1614117239,FALSE
W1887866454,FALSE
W1898960514,FALSE
W1908624676,FALSE
W1958812568,FALSE
W1970024610,FALSE
W1970835801,FALSE
W1980472182,FALSE
W1981322166,TRUE
W1982896496,FALSE
W1984221135,TRUE
W1985146373,FALSE
W1985813197,FALSE
W1989776969,FALSE
W1991720979,FALSE
W1995694039,FALSE
W2004069569,TRUE
W2005028155,FALSE
W2005562358,TRUE
W2014114746,FALSE
W2021780352,FALSE
W2023647768,TRUE
W2026072405,TRUE
W2027685123,FALSE
W2030045262,TRUE
W2030543415,TRUE
W2036691589,TRUE
W2037653500,TRUE
W2042028456,FALSE
W2045703588,TRUE
W2052029850,FALSE
W2054201039,FALSE
W2057164082,TRUE
W2058541073,FALSE
W2065918457,FALSE
W2068548513,FALSE
W2068619360,FALSE
W2068712260,TRUE
W2069935168,TRUE
W2072022033,FALSE
W2073620509,FALSE
W2078526825,TRUE
W2087560312,FALSE
W2090321092,TRUE
W2094013293,FALSE
W2097855688,FALSE
W2105632488,TRUE
W2113675362,TRUE
W2129356058,FALSE
W2131051543,FALSE
W2133690176,FALSE
W2137609666,FALSE
W2149818581,FALSE
W2160757315,TRUE
W2174414043,FALSE
W2189000696,FALSE
W2192072351,TRUE
W2204673465,FALSE
W2224017605,TRUE
W2251786008,FALSE
W2255479212,FALSE
W2294838228,FALSE
W2296260950,FALSE
W2298363472,FALSE
W2299317371,FALSE
W2322116467,FALSE
W2326405849,FALSE
W2336042583,TRUE
W2340372665,TRUE
W2342420211,FALSE
W2347080361,FALSE
W2367318286,FALSE
W2368362626,FALSE
W2399668202,TRUE
W2412147495,FALSE
W2423194785,FALSE
W2426266447,FALSE
W2471692228,FALSE
W2516571413,FALSE
W2524163634,TRUE
W2530508394,FALSE
W2532265207,FALSE
W2561259078,FALSE
W2577100359,FALSE
W2584645025,FALSE
W2588759495,FALSE
W2591482038,FALSE
W2593314316,TRUE
W2595374416,TRUE
W2598641184,TRUE
W2602475499,TRUE
W2606653320,FALSE
W2610891036,FALSE
W2612543784,FALSE
W2623548845,FALSE
W2727015719,FALSE
W2735467708,FALSE
W2760313272,FALSE
W2773626208,TRUE
W2773924394,FALSE
W2794540512,FALSE
W2795093979,FALSE
W2806168253,FALSE
W2882992725,FALSE
W2886660332,FALSE
W2889908205,TRUE
W2890199307,FALSE
W2896226668,FALSE
W2900421069,TRUE
W2916090675,FALSE
W2916610774,TRUE
W2932893307,FALSE
W2936294456,TRUE
W2939046886,FALSE
W2950695840,FALSE
W2951589070,FALSE
W2963149568,TRUE
W2963153294,FALSE
W2970752815,FALSE
W2972793303,FALSE
W3003217347,FALSE
W3004180743,FALSE
W3010170320,TRUE
W3010345301,FALSE
W3013119273,FALSE
W3021950290,TRUE
W3022013177,FALSE
W3038430083,FALSE
W3046425072,TRUE
W3100618740,FALSE
W3119849333,TRUE
W3122174898,TRUE
W3145359886,FALSE
W3167277949,FALSE
W3169341408,FALSE
W3174150157,FALSE
W3176134652,FALSE
W3203507200,TRUE
W346014600,TRUE
W4200076790,FALSE
W4200118623,TRUE
W4211087079,TRUE
W4236193981,TRUE
W4247421796,TRUE
W4252183929,TRUE
W4288459457,TRUE
W4296799091,TRUE
W4296805310,TRUE
W4308874736,TRUE
W4309308387,TRUE
W4310722874,TRUE
W4322744719,TRUE
W4379376364,TRUE
W4384498111,TRUE
W4385801022,TRUE
W4386432109,TRUE
W4387735773,TRUE
W4390956207,TRUE
W4391092522,TRUE
W4391619164,TRUE
W4395497432,FALSE
W4401680572,TRUE
W645708526,FALSE
