openalex_id,current_affiliation
W1014876943,TRUE
W1491964594,FALSE
W1785509403,FALSE
W1804647842,FALSE
W1892890053,FALSE
W1967203066,FALSE
W1968748079,TRUE
W1973930075,FALSE
W1981205792,FALSE
W1991063576,FALSE
W1995282250,FALSE
W1997914179,FALSE
W2005700558,FALSE
W2005814408,FALSE
W2016903752,FALSE
W2018978033,FALSE
W2020751905,FALSE
W2022174723,FALSE
W2028068517,FALSE
W2032486449,FALSE
W2033212606,FALSE
W2034144506,FALSE
W2038031093,FALSE
W2050922698,FALSE
W2051312343,FALSE
W2074918306,FALSE
W2080266894,FALSE
W2086367748,FALSE
W2088295638,FALSE
W2093258408,FALSE
W2097164000,FALSE
W2103665978,FALSE
W2103883447,FALSE
W2107559656,FALSE
W2123906587,FALSE
W2132229126,FALSE
W2139028140,FALSE
W2144567269,TRUE
W2150828889,FALSE
W2164823205,FALSE
W2167046400,FALSE
W2179970566,FALSE
W2314667346,FALSE
W231609845,FALSE
W2328857465,FALSE
W2335649001,FALSE
W2461902580,FALSE
W2464633441,FALSE
W2485508368,FALSE
W2508334959,FALSE
W2517352265,FALSE
W2551069416,FALSE
W2603193568,TRUE
W2608124322,FALSE
W2611443222,FALSE
W2611608574,FALSE
W2756610547,FALSE
W2782774584,FALSE
W2789378452,TRUE
W2792871305,TRUE
W2797480674,FALSE
W2806067529,FALSE
W2806815225,FALSE
W2897684214,FALSE
W2899542234,FALSE
W2905298396,FALSE
W2946680221,FALSE
W2947450067,FALSE
W2954169061,FALSE
W2969291039,FALSE
W2969479682,FALSE
W2972901166,FALSE
W3002654523,TRUE
W3016435475,FALSE
W3041753226,FALSE
W3111480817,FALSE
W3124457044,FALSE
W3127349317,FALSE
W3137202385,FALSE
W3149664102,FALSE
W3180287195,TRUE
W327084487,FALSE
W4212929035,TRUE
W4214657016,FALSE
W4230669789,FALSE
W4232096515,FALSE
W4235370898,FALSE
W4244143646,FALSE
W4250663588,FALSE
W4252790686,FALSE
W4254417928,FALSE
W4255936444,FALSE
W4308444941,FALSE
W4308916845,FALSE
W4311691392,FALSE
W4372179934,FALSE
W4388629357,FALSE
W4390514176,FALSE
W4391030559,FALSE
W4391237897,FALSE
W54285591,FALSE
