openalex_id,current_affiliation
W162540017,TRUE
W1965017432,FALSE
W1967565498,FALSE
W1981905832,FALSE
W2004654181,FALSE
W2025660500,FALSE
W2051820459,TRUE
W2080665836,FALSE
W2081396926,FALSE
W2088586066,FALSE
W2090352898,FALSE
W2166577813,FALSE
W2167296782,TRUE
W2321134073,FALSE
W2323628050,FALSE
W2324498920,FALSE
W2329301013,FALSE
W2515777786,TRUE
W2522612301,FALSE
W2531743200,TRUE
W2621133204,TRUE
W2773540001,TRUE
W2795950500,FALSE
W2796346201,FALSE
W2941337708,FALSE
W3090375929,TRUE
W3166172363,TRUE
W3168085024,TRUE
W4210352739,FALSE
W4389488805,TRUE
