pmid,current_affiliation
11900150,TRUE
11933791,TRUE
12054406,TRUE
12435258,TRUE
12660214,TRUE
12721141,TRUE
12841049,TRUE
12869343,TRUE
12893616,FALSE
14572838,FALSE
14596745,TRUE
15160816,TRUE
15184339,TRUE
15519634,TRUE
15534310,TRUE
16029772,FALSE
16053582,TRUE
16480808,FALSE
16557509,TRUE
16721315,TRUE
16917649,TRUE
17203724,FALSE
17493676,TRUE
17568452,TRUE
17894189,FALSE
17922901,FALSE
18295024,TRUE
18493170,TRUE
18790316,FALSE
18984192,FALSE
19014512,FALSE
19091107,TRUE
19091108,TRUE
19091109,TRUE
19091110,TRUE
19162440,FALSE
19305650,TRUE
19305655,TRUE
19308107,FALSE
19345830,FALSE
19377332,TRUE
19654184,FALSE
19936223,TRUE
20018098,TRUE
20018099,FALSE
20018100,FALSE
20018101,FALSE
20018102,FALSE
20018103,TRUE
20018104,TRUE
20018105,FALSE
20018106,FALSE
20018107,FALSE
20018108,FALSE
20018109,FALSE
20018110,TRUE
20018111,TRUE
20018112,TRUE
20018113,FALSE
20018114,TRUE
20018115,FALSE
20018116,TRUE
20042117,FALSE
20101287,FALSE
20147424,TRUE
20176574,FALSE
20205837,TRUE
20205838,TRUE
20207061,FALSE
20392332,TRUE
20423486,TRUE
20439448,TRUE
20439449,TRUE
20676252,FALSE
20678140,FALSE
20923592,TRUE
21123668,FALSE
21262071,FALSE
21271396,FALSE
21303523,FALSE
21524292,FALSE
21619621,FALSE
21619622,FALSE
21619682,FALSE
21645401,TRUE
21702956,TRUE
21833978,TRUE
21967823,FALSE
22152223,FALSE
22165841,TRUE
22236561,FALSE
22325150,FALSE
22390520,FALSE
22412356,FALSE
22427746,TRUE
22448147,FALSE
22651257,FALSE
22698036,FALSE
22717501,TRUE
22752106,FALSE
22799440,FALSE
22814570,FALSE
22857399,FALSE
22938912,TRUE
22972142,FALSE
23014156,FALSE
23171160,TRUE
23393042,TRUE
23514333,FALSE
23563776,FALSE
23687526,FALSE
23915278,TRUE
24007378,TRUE
24028700,TRUE
24391297,TRUE
24438365,FALSE
24641874,TRUE
24863120,TRUE
24889015,FALSE
24920216,TRUE
24973488,TRUE
25085786,TRUE
25115289,FALSE
25124244,TRUE
25294109,TRUE
25347697,TRUE
25358894,FALSE
25429904,FALSE
25432398,FALSE
25474820,TRUE
25476735,TRUE
25491890,FALSE
25495034,TRUE
25516355,FALSE
25552196,FALSE
25617513,TRUE
25875495,TRUE
25971248,TRUE
26142355,TRUE
26159806,TRUE
26291124,FALSE
26318211,TRUE
26334916,TRUE
26416206,TRUE
26445940,TRUE
26563337,TRUE
26626988,TRUE
26652277,TRUE
26727892,TRUE
26800684,TRUE
26802073,TRUE
26903613,FALSE
27084338,TRUE
27170443,TRUE
27233927,TRUE
27283191,TRUE
27330738,TRUE
27538384,TRUE
27542995,TRUE
27585630,TRUE
27670693,TRUE
27884208,TRUE
28032827,TRUE
28077228,TRUE
28109320,TRUE
28166798,TRUE
28193230,TRUE
28365303,TRUE
28365304,TRUE
28468683,TRUE
28693544,TRUE
28716143,TRUE
28870215,TRUE
28988959,TRUE
29152540,TRUE
29325399,TRUE
29499694,TRUE
29506146,TRUE
29687481,TRUE
29907158,TRUE
29925394,TRUE
29929538,TRUE
30029647,TRUE
30732616,TRUE
30744703,TRUE
31090186,TRUE
31101047,TRUE
31113449,TRUE
31160062,TRUE
31359451,TRUE
31438977,TRUE
31523997,TRUE
31619429,TRUE
31649748,TRUE
31752888,TRUE
31888658,TRUE
32070370,TRUE
32164698,TRUE
32228692,TRUE
32321282,TRUE
32473992,TRUE
32563219,TRUE
32641053,TRUE
32894131,TRUE
33008260,TRUE
33087380,TRUE
33115486,TRUE
33129335,TRUE
33358614,TRUE
33588878,TRUE
33597281,TRUE
33974687,TRUE
34060269,TRUE
34098971,TRUE
34380206,TRUE
34717777,TRUE
34780983,TRUE
35033096,TRUE
35228321,TRUE
35246139,TRUE
35425927,TRUE
35443916,TRUE
35521040,TRUE
35830436,FALSE
35870939,TRUE
35914153,TRUE
36167420,TRUE
36175897,TRUE
36209122,TRUE
36584732,TRUE
36841819,TRUE
36962468,TRUE
37254718,TRUE
37419644,TRUE
37553734,TRUE
37579435,TRUE
37718186,TRUE
37827737,TRUE
38016119,TRUE
38111030,TRUE
38123105,TRUE
38206901,TRUE
38421991,TRUE
38802942,TRUE
38970038,TRUE
39234210,TRUE
39318895,TRUE
39334425,TRUE
39540251,TRUE
39544994,TRUE
39574148,TRUE
39601040,TRUE
40155318,TRUE
40318940,TRUE
40367102,TRUE
