openalex_id,current_affiliation
W1984320431,TRUE
W1993276133,TRUE
W2004238640,FALSE
W2014724006,TRUE
W2015570846,TRUE
W2022541306,FALSE
W2032422408,FALSE
W2044931150,TRUE
W2062249948,TRUE
W2065750773,TRUE
W2078847891,FALSE
W2081459806,FALSE
W2093237337,FALSE
W2107542394,TRUE
W2204415572,FALSE
W2234308293,TRUE
W2335038395,TRUE
W2890354204,FALSE
W3007175642,FALSE
W3097986273,FALSE
W4210255607,TRUE
W4229950971,FALSE
W4245790958,FALSE
W4285500472,TRUE
W4291020145,TRUE
W4310530759,TRUE
W4366347183,TRUE
W4390081402,TRUE
W4390081668,TRUE
W4390083754,TRUE
W4391813054,FALSE
